,Marque,Model,Marque_Model,Prix,Mise_en_circulation,Puissance_fiscale,Kilometrage,Carburant,Boite_Vitesse,Gouvernorat
3472,Volkswagen,Golf7,Volkswagen Golf7,88500,2017,6,114000,Essence,Automatique,monastir
3473,GREAT,WALLM4,GREAT WALLM4,40000,2019,6,50000,Essence,Manuelle,gafsa
3474,Renault,Kangoo,Renault Kangoo,23500,2010,6,170000,Diesel,Manuelle,kasserine
3475,Kia,RIO,Kia RIO,41500,2014,6,111000,Essence,Automatique,monastir
3476,Hyundai,Accent,Hyundai Accent,30000,2015,6,118000,Essence,Manuelle,benarous
3477,Citroen,C5,Citroen C5,30000,2011,6,230000,Diesel,Manuelle,benarous
3478,Ford,Focus,Ford Focus,30000,2012,6,208000,Diesel,Manuelle,siliana
3479,Renault,Megane,Renault Megane,17000,2007,6,202000,Essence,Manuelle,kairouan
3480,Volkswagen,Passat,Volkswagen Passat,26500,2008,6,220000,Diesel,Manuelle,kef
3481,Volkswagen,Golf,Volkswagen Golf,18500,2001,6,200000,Diesel,Manuelle,benarous
3482,Renault,Megane,Renault Megane,21000,2007,6,230000,Essence,Manuelle,benarous
3483,Citroen,C4,Citroen C4,28500,2013,6,170000,Essence,Manuelle,jendouba
3484,Mazda,Mazda2,Mazda Mazda2,37000,2017,6,149000,Essence,Manuelle,benarous
3485,Citroen,C4,Citroen C4,29400,2012,6,170000,Essence,Manuelle,jendouba
3486,Fiat,DUCATO,Fiat DUCATO,35000,2011,6,263000,Diesel,Manuelle,kairouan
3487,Citroen,C3,Citroen C3,19500,2013,6,200000,Diesel,Manuelle,benarous
3488,Renault,Megane,Renault Megane,17500,2008,6,270000,Essence,Manuelle,benarous
3489,MERCEDES-BENZ,C180,MERCEDES-BENZ C180,120000,2016,6,71000,Diesel,Manuelle,kasserine
3490,Ford,Focus,Ford Focus,52000,2017,6,107000,Essence,Manuelle,benarous
3491,Renault,CAPTUR,Renault CAPTUR,40000,2014,6,87600,Essence,Manuelle,benarous
3492,Renault,Laguna,Renault Laguna,16000,2004,6,280000,Diesel,Manuelle,bizerte
3493,Nissan,Qashqai,Nissan Qashqai,77000,2016,6,85000,Essence,Automatique,bizerte
